year,fire_type,area_ha,n_fires
1950,Bushfire,1818.0,1
1951,Bushfire,33990.0,8
1952,Bushfire,244471.0,12
1953,Bushfire,138.0,2
1954,Bushfire,5817.0,9
1955,Bushfire,5883.0,2
1956,Bushfire,99.0,3
1957,Bushfire,11490.0,21
1958,Bushfire,536276.0,15
1959,Bushfire,99480.0,34
1960,Bushfire,57456.0,35
1961,Bushfire,53903.0,33
1961,Prescribed Burn,294.0,1
1962,Bushfire,119902.0,49
1962,Prescribed Burn,1251.0,1
1963,Bushfire,21478.0,44
1963,Prescribed Burn,139.0,1
1964,Bushfire,105805.0,49
1964,Prescribed Burn,882.0,4
1965,Bushfire,585439.0,100
1965,Prescribed Burn,5271.0,21
1966,Bushfire,48333.0,74
1966,Prescribed Burn,11166.0,36
1967,Bushfire,96854.0,115
1967,Prescribed Burn,17235.0,19
1968,Bushfire,175090.0,112
1968,Prescribed Burn,5042.0,19
1969,Bushfire,70365.0,35
1969,Prescribed Burn,5260.0,13
1971,Bushfire,3672.0,14
1971,Prescribed Burn,7631.0,13
1972,Bushfire,64380.0,50
1972,Prescribed Burn,56556.0,101
1973,Bushfire,110209.0,79
1973,Prescribed Burn,66890.0,77
1974,Bushfire,19821.0,17
1974,Prescribed Burn,18752.0,58
1975,Bushfire,97248.0,35
1975,Prescribed Burn,57957.0,71
1976,Bushfire,111526.0,52
1976,Prescribed Burn,13962.0,33
1977,Bushfire,165415.0,53
1977,Prescribed Burn,48334.0,183
1978,Bushfire,64546.0,58
1978,Prescribed Burn,38237.0,167
1979,Bushfire,79935.0,30
1979,Prescribed Burn,10307.0,86
1980,Bushfire,103408.0,80
1980,Prescribed Burn,79085.0,177
1981,Bushfire,451438.0,190
1981,Prescribed Burn,318607.0,393
1982,Bushfire,62095.0,79
1982,Prescribed Burn,94774.0,205
1983,Bushfire,869056.0,212
1983,Prescribed Burn,49309.0,211
1984,Bushfire,45957.0,44
1984,Prescribed Burn,174899.0,286
1985,Bushfire,227946.0,123
1985,Prescribed Burn,69653.0,304
1986,Bushfire,25597.0,81
1986,Prescribed Burn,84749.0,281
1987,Bushfire,17746.0,100
1987,Prescribed Burn,177219.0,461
1988,Bushfire,6060.0,97
1988,Prescribed Burn,132250.0,373
1989,Bushfire,28268.0,110
1989,Prescribed Burn,19189.0,110
1990,Bushfire,32741.0,102
1990,Prescribed Burn,92084.0,635
1991,Bushfire,38768.0,154
1991,Prescribed Burn,135027.0,526
1992,Bushfire,6165.0,115
1992,Prescribed Burn,112908.0,430
1993,Bushfire,4358.0,36
1993,Prescribed Burn,74182.0,415
1994,Bushfire,14034.0,79
1994,Prescribed Burn,142365.0,536
1995,Bushfire,19869.0,128
1995,Prescribed Burn,98174.0,459
1996,Bushfire,13773.0,72
1996,Prescribed Burn,110772.0,605
1997,Bushfire,26096.0,95
1997,Prescribed Burn,98601.0,438
1998,Bushfire,63266.0,151
1998,Prescribed Burn,31345.0,322
1999,Bushfire,121277.0,88
1999,Prescribed Burn,85897.0,420
2000,Bushfire,4814.0,26
2000,Prescribed Burn,48928.0,377
2001,Bushfire,17279.0,78
2001,Prescribed Burn,61356.0,366
2002,Bushfire,1344085.0,90
2002,Prescribed Burn,57062.0,508
2003,Bushfire,5406777.0,198
2003,Prescribed Burn,39257.0,522
2004,Bushfire,18953.0,121
2004,Prescribed Burn,107878.0,787
2005,Bushfire,34878.0,104
2005,Prescribed Burn,102929.0,700
2006,Bushfire,4503391.0,218
2006,Prescribed Burn,42069.0,501
2007,Bushfire,79359.0,205
2007,Prescribed Burn,117542.0,712
2008,Bushfire,15753.0,84
2008,Prescribed Burn,129194.0,927
2009,Bushfire,2052579.0,451
2009,Prescribed Burn,129256.0,873
2010,Bushfire,13621.0,63
2010,Prescribed Burn,121807.0,1219
2011,Bushfire,10573.0,123
2011,Prescribed Burn,128299.0,1712
2012,Bushfire,10524.0,107
2012,Prescribed Burn,106990.0,3655
2013,Bushfire,361288.0,328
2013,Prescribed Burn,112402.0,2318
2014,Bushfire,1297882.0,395
2014,Prescribed Burn,52770.0,1499
2015,Bushfire,63793.0,333
2015,Prescribed Burn,93562.0,1767
2016,Bushfire,9043.0,125
2016,Prescribed Burn,62385.0,1495
2017,Bushfire,29693.0,230
2017,Prescribed Burn,44762.0,2815
2018,Bushfire,40076.0,864
2018,Prescribed Burn,37405.0,6653
2019,Bushfire,3314826.0,1072
2019,Prescribed Burn,61854.0,8031
2020,Bushfire,958857.0,255
2020,Prescribed Burn,26177.0,7532
2021,Bushfire,4089.0,157
2021,Prescribed Burn,79971.0,12887
2022,Bushfire,11400.0,127
2022,Prescribed Burn,36670.0,1697
2023,Prescribed Burn,203.0,1
